Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
1.0,Breaking Bad,62,TV Series,9.0,34995.0,9.5,2106387.0,45.0,"Crime ,Drama ,Thriller",2008,2013.0,https://www.imdb.com/title/tt0903747
2.0,Planet Earth II,6,TV Mini Series,9.0,3556.5,9.5,156311.0,298.0,Documentary,2016,2016.0,https://www.imdb.com/title/tt5491994
3.0,Planet Earth,11,TV Mini Series,8.8,3104.4,9.4,218687.0,538.0,"Documentary ,Family",2006,2006.0,https://www.imdb.com/title/tt0795176
4.0,Band of Brothers,10,TV Mini Series,9.0,9542.9,9.4,518235.0,594.0,"Drama ,History ,War",2001,2001.0,https://www.imdb.com/title/tt0185906
5.0,Chernobyl,5,TV Mini Series,9.5,52849.8,9.3,851248.0,330.0,"Drama ,History ,Thriller",2019,2019.0,https://www.imdb.com/title/tt7366338
6.0,The Wire,60,TV Series,8.6,4616.6,9.3,372513.0,59.0,"Crime ,Drama ,Thriller",2002,2008.0,https://www.imdb.com/title/tt0306414
7.0,Avatar: The Last Airbender,62,TV Series,8.6,5215.1,9.3,356635.0,23.0,"Animation ,Action ,Adventure",2005,2008.0,https://www.imdb.com/title/tt0417299
8.0,Blue Planet II,7,TV Mini Series,8.9,1150.7,9.3,45730.0,364.0,Documentary,2017,2017.0,https://www.imdb.com/title/tt6769208
9.0,The Sopranos,86,TV Series,8.6,7433.7,9.2,461751.0,55.0,"Crime ,Drama",1999,2007.0,https://www.imdb.com/title/tt0141842
10.0,Cosmos: A Spacetime Odyssey,13,TV Mini Series,9.0,2076.2,9.3,127454.0,557.0,Documentary,2014,2014.0,https://www.imdb.com/title/tt2395695
11.0,Cosmos,13,TV Mini Series,8.9,575.8,9.3,43536.0,780.0,Documentary,1980,1980.0,https://www.imdb.com/title/tt0081846
12.0,Our Planet,12,TV Series,8.9,1332.3,9.3,50166.0,50.0,Documentary,2019,2023.0,https://www.imdb.com/title/tt9253866
13.0,Game of Thrones,74,TV Series,8.7,58781.1,9.2,2258992.0,55.0,"Action ,Adventure ,Drama",2011,2019.0,https://www.imdb.com/title/tt0944947
14.0,The World at War,26,TV Series,8.6,410.4,9.2,28241.0,1336.0,"Documentary ,History ,War",1973,1974.0,https://www.imdb.com/title/tt0071075
15.0,Bluey,168,TV Series,8.3,354.3,9.4,24186.0,7.0,"Animation ,Family",2018,2050.0,https://www.imdb.com/title/tt7678620
16.0,Rick and Morty,74,TV Series,8.2,11985.6,9.1,593634.0,23.0,"Animation ,Adventure ,Comedy",2013,2050.0,https://www.imdb.com/title/tt2861424
17.0,Fullmetal Alchemist: Brotherhood,54,TV Series,8.1,1871.9,9.1,194252.0,24.0,"Animation ,Action ,Adventure",2009,2010.0,https://www.imdb.com/title/tt1355642
18.0,Life,11,TV Mini Series,8.5,523.9,9.1,42569.0,473.0,"Documentary ,Family",2009,2009.0,https://www.imdb.com/title/tt1533395
19.0,The Last Dance,10,TV Mini Series,9.1,3596.3,9.1,149125.0,491.0,"Documentary ,Biography ,History",2020,2020.0,https://www.imdb.com/title/tt8420184
20.0,The Twilight Zone,156,TV Series,7.4,2962.9,9.1,92165.0,51.0,"Drama ,Fantasy ,Horror",1959,1964.0,https://www.imdb.com/title/tt0052520
21.0,Sherlock,15,TV Series,8.7,29019.1,9.1,988220.0,88.0,"Crime ,Drama ,Mystery",2010,2017.0,https://www.imdb.com/title/tt1475582
22.0,The Vietnam War,10,TV Mini Series,8.6,765.0,9.1,27613.0,990.0,"Documentary ,History ,War",2017,2017.0,https://www.imdb.com/title/tt1877514
23.0,Batman: The Animated Series,75,TV Series,7.9,2019.0,9.0,115320.0,23.0,"Animation ,Action ,Adventure",1992,1995.0,https://www.imdb.com/title/tt0103359
24.0,Attack on Titan,98,TV Series,9.0,29207.9,9.1,497554.0,24.0,"Animation ,Action ,Adventure",2013,2023.0,https://www.imdb.com/title/tt2560140
25.0,Scam 1992: The Harshad Mehta Story,10,TV Mini Series,9.0,2020.0,9.3,155404.0,54.0,"Biography ,Crime ,Drama",2020,2020.0,https://www.imdb.com/title/tt12392504
26.0,The Office,202,TV Series,8.1,5933.3,9.0,698370.0,22.0,Comedy,2005,2013.0,https://www.imdb.com/title/tt0386676
27.0,The Blue Planet,8,TV Mini Series,8.2,743.6,9.0,42393.0,389.0,Documentary,2001,2001.0,https://www.imdb.com/title/tt0296310
28.0,Arcane,10,TV Series,9.0,13373.2,9.0,262102.0,41.0,"Animation ,Action ,Adventure",2021,2050.0,https://www.imdb.com/title/tt11126994
29.0,Better Call Saul,63,TV Series,8.8,17930.1,9.0,635337.0,3154.0,"Crime ,Drama",2015,2022.0,https://www.imdb.com/title/tt3032476
30.0,Human Planet,8,TV Mini Series,8.5,409.5,9.0,27661.0,50.0,Documentary,2011,2011.0,https://www.imdb.com/title/tt1806234
31.0,Firefly,14,TV Series,8.7,5103.2,9.0,279809.0,616.0,"Adventure ,Drama ,Sci-Fi",2002,2003.0,https://www.imdb.com/title/tt0303461
32.0,Frozen Planet,10,TV Mini Series,8.2,604.4,9.0,32759.0,333.0,Documentary,2011,2012.0,https://www.imdb.com/title/tt2092588
33.0,Clarkson's Farm,18,TV Series,8.8,1047.9,9.0,54231.0,45.0,"Documentary ,Comedy ,Reality-TV",2021,2050.0,https://www.imdb.com/title/tt10541088
34.0,Hunter x Hunter,50,TV Series,7.9,1500.6,9.0,130361.0,24.0,"Animation ,Action ,Adventure",2011,2014.0,https://www.imdb.com/title/tt2098220
35.0,Only Fools and Horses,64,TV Series,8.3,640.0,9.0,56202.0,95.0,Comedy,1981,2003.0,https://www.imdb.com/title/tt0081912
36.0,Death Note,37,TV Series,8.1,4584.5,8.9,371946.0,24.0,"Animation ,Crime ,Drama",2006,2007.0,https://www.imdb.com/title/tt0877057
37.0,The Civil War,9,TV Mini Series,8.6,375.9,9.0,18238.0,680.0,"Documentary ,History ,War",1990,1990.0,https://www.imdb.com/title/tt0098769
38.0,True Detective,30,TV Series,8.1,13729.9,8.9,640893.0,55.0,"Crime ,Drama ,Mystery",2014,2050.0,https://www.imdb.com/title/tt2356777
39.0,Seinfeld,173,TV Series,8.3,4036.9,8.9,347633.0,22.0,Comedy,1989,1998.0,https://www.imdb.com/title/tt0098904
40.0,The Decalogue,10,TV Mini Series,8.1,4623.1,8.9,27638.0,572.0,Drama,1989,1990.0,https://www.imdb.com/title/tt0092337
41.0,The Beatles: Get Back,3,TV Mini Series,9.1,1818.0,9.0,27574.0,468.0,"Documentary ,Biography ,Music",2021,2021.0,https://www.imdb.com/title/tt9735318
42.0,Persona,22,TV Series,8.1,760.5,9.0,46871.0,60.0,"Crime ,Drama ,Mystery",2018,2050.0,https://www.imdb.com/title/tt7920978
43.0,Gravity Falls,41,TV Series,8.6,3203.0,8.9,132016.0,23.0,"Animation ,Adventure ,Comedy",2012,2016.0,https://www.imdb.com/title/tt1865718
44.0,Cowboy Bebop,26,TV Series,8.2,3169.6,8.9,136508.0,650.0,"Animation ,Action ,Adventure",1998,1999.0,https://www.imdb.com/title/tt0213338
45.0,Fargo,51,TV Series,8.3,6333.6,8.9,415451.0,53.0,"Crime ,Drama ,Thriller",2014,2024.0,https://www.imdb.com/title/tt2802850
46.0,Nathan for You,32,TV Series,8.6,993.6,8.9,37719.0,30.0,"Documentary ,Comedy",2013,2017.0,https://www.imdb.com/title/tt2297757
47.0,Apocalypse: The Second World War,6,TV Mini Series,8.6,400.0,9.0,14101.0,312.0,"Documentary ,History ,War",2009,2009.0,https://www.imdb.com/title/tt1508238
48.0,Last Week Tonight with John Oliver,343,TV Series,7.8,255.0,8.9,95033.0,30.0,"Comedy ,News ,Talk-Show",2014,2050.0,https://www.imdb.com/title/tt3530232
49.0,When They See Us,4,TV Mini Series,9.0,6050.2,8.9,136347.0,296.0,"Biography ,Crime ,Drama",2019,2019.0,https://www.imdb.com/title/tt7137906
50.0,Taskmaster,161,TV Series,8.0,164.6,9.0,18911.0,47.0,"Comedy ,Game-Show",2015,2050.0,https://www.imdb.com/title/tt4934214
51.0,Succession,39,TV Series,8.8,9497.8,8.8,263443.0,2409.0,"Comedy ,Drama",2018,2023.0,https://www.imdb.com/title/tt7660850
52.0,Friends,234,TV Series,8.3,5326.0,8.9,1077265.0,5280.0,"Comedy ,Romance",1994,2004.0,https://www.imdb.com/title/tt0108778
53.0,Africa,7,TV Mini Series,8.4,433.4,8.9,17031.0,360.0,Documentary,2013,2013.0,https://www.imdb.com/title/tt2571774
54.0,As If,43,TV Series,8.0,1099.3,9.0,20755.0,30.0,Comedy,2021,2050.0,https://www.imdb.com/title/tt13675832
55.0,TVF Pitchers,10,TV Series,8.7,684.4,9.1,72084.0,40.0,"Comedy ,Drama",2015,2022.0,https://www.imdb.com/title/tt4742876
56.0,It's Always Sunny in Philadelphia,172,TV Series,8.4,3080.3,8.8,249113.0,22.0,Comedy,2005,2050.0,https://www.imdb.com/title/tt0472954
57.0,Monty Python's Flying Circus,45,TV Series,8.0,946.6,8.8,78355.0,30.0,Comedy,1969,1974.0,https://www.imdb.com/title/tt0063929
58.0,The West Wing,155,TV Series,8.2,915.2,8.9,84633.0,44.0,Drama,1999,2006.0,https://www.imdb.com/title/tt0200276
59.0,Das Boot,3,TV Mini Series,8.7,355.7,8.8,33093.0,293.0,"Drama ,War",1985,1985.0,https://www.imdb.com/title/tt0081834
60.0,Curb Your Enthusiasm,120,TV Series,8.3,1679.8,8.8,142212.0,28.0,Comedy,2000,2024.0,https://www.imdb.com/title/tt0264235
61.0,One Piece,61,TV Series,7.4,2058.6,9.0,224477.0,24.0,"Animation ,Action ,Adventure",1999,2050.0,https://www.imdb.com/title/tt0388629
62.0,BoJack Horseman,77,TV Series,8.4,5228.0,8.8,185155.0,1982.0,"Animation ,Comedy ,Drama",2014,2020.0,https://www.imdb.com/title/tt3398228
63.0,Fawlty Towers,12,TV Series,8.8,2242.2,8.8,99481.0,30.0,Comedy,1975,1979.0,https://www.imdb.com/title/tt0072500
64.0,Leyla and Mecnun,144,TV Series,8.5,302.2,9.1,96105.0,80.0,"Adventure ,Comedy ,Drama",2011,2023.0,https://www.imdb.com/title/tt1831164
65.0,Pride and Prejudice,6,TV Mini Series,8.4,914.3,8.8,91491.0,327.0,"Drama ,Romance",1995,1995.0,https://www.imdb.com/title/tt0112130
66.0,Freaks and Geeks,18,TV Series,8.7,2003.9,8.8,152162.0,799.0,"Comedy ,Drama",1999,2000.0,https://www.imdb.com/title/tt0193676
67.0,Blackadder Goes Forth,6,TV Series,8.7,1212.0,8.8,56433.0,175.0,"Comedy ,War",1989,1989.0,https://www.imdb.com/title/tt0096548
68.0,Twin Peaks,48,TV Series,8.2,5077.5,8.8,213133.0,1505.0,"Crime ,Drama ,Mystery",1990,1991.0,https://www.imdb.com/title/tt0098936
69.0,Dragon Ball Z,327,TV Series,7.7,1426.6,8.8,145342.0,24.0,"Animation ,Action ,Adventure",1989,1996.0,https://www.imdb.com/title/tt0214341
70.0,Narcos,30,TV Series,8.7,5432.9,8.8,465025.0,49.0,"Biography ,Crime ,Drama",2015,2017.0,https://www.imdb.com/title/tt2707408
71.0,Chappelle's Show,33,TV Series,7.9,506.3,8.8,71191.0,22.0,"Comedy ,Music",2003,2006.0,https://www.imdb.com/title/tt0353049
72.0,Dragon Ball Z,327,TV Series,7.5,1350.8,8.8,86733.0,24.0,"Animation ,Action ,Adventure",1989,1996.0,https://www.imdb.com/title/tt0121220
73.0,Reply 1988,20,TV Series,8.4,147.3,9.1,10470.0,90.0,"Comedy ,Drama ,Family",2015,2016.0,https://www.imdb.com/title/tt5182866
74.0,"I, Claudius",13,TV Mini Series,8.6,384.1,8.8,19192.0,669.0,"Biography ,Drama ,History",1976,1976.0,https://www.imdb.com/title/tt0074006
75.0,Black Mirror,29,TV Series,7.6,45226.2,8.7,632179.0,60.0,"Drama ,Mystery ,Sci-Fi",2011,2050.0,https://www.imdb.com/title/tt2085059
76.0,South Park,330,TV Series,8.0,3058.0,8.7,402999.0,22.0,"Animation ,Comedy",1997,2050.0,https://www.imdb.com/title/tt0121955
77.0,Over the Garden Wall,10,TV Mini Series,8.4,2333.3,8.8,69152.0,22.0,"Animation ,Short ,Adventure",2014,2014.0,https://www.imdb.com/title/tt3718778
78.0,Ted Lasso,34,TV Series,8.3,7615.3,8.8,337971.0,1453.0,"Comedy ,Drama ,Sport",2020,2023.0,https://www.imdb.com/title/tt10986410
79.0,Vinland Saga,48,TV Series,8.8,3480.1,8.8,67852.0,24.0,"Animation ,Action ,Adventure",2019,2023.0,https://www.imdb.com/title/tt10233448
80.0,The Last of Us,10,TV Series,8.7,80565.0,8.8,500632.0,50.0,"Action ,Adventure ,Drama",2023,2050.0,https://www.imdb.com/title/tt3581920
81.0,Kota Factory,10,TV Series,8.6,1204.7,9.0,79827.0,388.0,"Comedy ,Drama",2019,2021.0,https://www.imdb.com/title/tt9432978
82.0,Peaky Blinders,36,TV Series,8.6,9406.1,8.8,636162.0,2109.0,"Crime ,Drama",2013,2022.0,https://www.imdb.com/title/tt2442560
83.0,Gullak,15,TV Series,9.0,554.3,9.1,20955.0,24.0,"Comedy ,Drama ,Family",2019,2050.0,https://www.imdb.com/title/tt10530900
84.0,Six Feet Under,63,TV Series,8.4,2056.6,8.7,147647.0,60.0,"Comedy ,Drama",2001,2005.0,https://www.imdb.com/title/tt0248654
85.0,Rome,22,TV Series,8.4,2297.9,8.7,183690.0,1193.0,"Action ,Drama ,Romance",2005,2007.0,https://www.imdb.com/title/tt0384766
86.0,Oz,56,TV Series,8.4,2064.1,8.7,105865.0,55.0,"Crime ,Drama ,Thriller",1997,2003.0,https://www.imdb.com/title/tt0118421
87.0,Panchayat,24,TV Series,8.6,871.0,8.9,83682.0,536.0,"Comedy ,Drama",2020,2050.0,https://www.imdb.com/title/tt12004706
88.0,Steins;Gate,26,TV Series,8.4,1505.2,8.8,72180.0,24.0,"Animation ,Comedy ,Drama",2011,2015.0,https://www.imdb.com/title/tt1910272
89.0,Blue Eye Samurai,9,TV Series,8.7,2310.1,8.8,56596.0,377.0,"Animation ,Action ,Adventure",2023,2023.0,https://www.imdb.com/title/tt13309742
90.0,Dark,26,TV Series,8.9,14015.2,8.7,436978.0,1455.0,"Crime ,Drama ,Mystery",2017,2020.0,https://www.imdb.com/title/tt5753856
91.0,The Boys,32,TV Series,8.6,11453.4,8.7,633315.0,60.0,"Action ,Comedy ,Crime",2019,2050.0,https://www.imdb.com/title/tt1190634
92.0,Bleach: Thousand-Year Blood War,27,TV Series,8.8,5289.1,9.0,34127.0,24.0,"Animation ,Action ,Adventure",2022,2050.0,https://www.imdb.com/title/tt14986406
93.0,Fleabag,12,TV Series,8.4,4805.4,8.7,196418.0,302.0,"Comedy ,Drama",2016,2019.0,https://www.imdb.com/title/tt5687612
94.0,Battlestar Galactica,76,TV Series,8.0,1947.0,8.7,174516.0,44.0,"Action ,Adventure ,Drama",2004,2009.0,https://www.imdb.com/title/tt0407362
95.0,The Shield,89,TV Series,8.2,2196.3,8.7,87222.0,47.0,"Crime ,Drama ,Thriller",2002,2008.0,https://www.imdb.com/title/tt0286486
96.0,Downton Abbey,52,TV Series,8.3,1907.1,8.7,222668.0,3110.0,"Drama ,Romance",2010,2015.0,https://www.imdb.com/title/tt1606375
97.0,The Simpsons,762,TV Series,7.1,1981.0,8.7,432638.0,22.0,"Animation ,Comedy",1989,2050.0,https://www.imdb.com/title/tt0096697
98.0,Berserk,25,TV Series,8.1,901.9,8.7,51320.0,23.0,"Animation ,Action ,Adventure",1997,1998.0,https://www.imdb.com/title/tt0318871
99.0,Arrested Development,84,TV Series,8.1,2130.7,8.7,322223.0,22.0,Comedy,2003,2019.0,https://www.imdb.com/title/tt0367279
100.0,House,176,TV Series,8.4,3139.6,8.7,504036.0,7788.0,"Drama ,Mystery",2004,2012.0,https://www.imdb.com/title/tt0412142
101.0,Severance,19,TV Series,8.3,3464.5,8.7,191955.0,55.0,"Drama ,Mystery ,Sci-Fi",2022,2050.0,https://www.imdb.com/title/tt11280740
102.0,One Punch Man,25,TV Series,8.4,3218.2,8.7,183314.0,24.0,"Animation ,Action ,Comedy",2015,2019.0,https://www.imdb.com/title/tt4508902
103.0,Invincible,18,TV Series,8.5,5478.1,8.7,190824.0,50.0,"Animation ,Action ,Adventure",2021,2050.0,https://www.imdb.com/title/tt6741278
104.0,Mad Men,92,TV Series,8.4,2785.4,8.7,258393.0,4400.0,Drama,2007,2015.0,https://www.imdb.com/title/tt0804503
105.0,Peep Show,54,TV Series,8.1,691.7,8.7,65906.0,25.0,Comedy,2003,2015.0,https://www.imdb.com/title/tt0387764
106.0,Star Trek: The Next Generation,176,TV Series,7.3,3567.8,8.7,134328.0,44.0,"Action ,Adventure ,Drama",1987,1994.0,https://www.imdb.com/title/tt0092455
107.0,Stranger Things,42,TV Series,8.6,19027.1,8.7,1317933.0,51.0,"Drama ,Fantasy ,Horror",2016,2025.0,https://www.imdb.com/title/tt4574334
108.0,Mahabharat,50,TV Series,6.2,59.4,8.9,23062.0,45.0,"Action ,Adventure ,Drama",1988,1990.0,https://www.imdb.com/title/tt0158417
109.0,The Adventures of Sherlock Holmes,13,TV Series,8.1,1167.6,8.7,23990.0,688.0,"Crime ,Drama ,Mystery",1984,1985.0,https://www.imdb.com/title/tt0086661
110.0,The Marvelous Mrs. Maisel,43,TV Series,8.4,2046.8,8.7,141287.0,2408.0,"Comedy ,Drama",2017,2023.0,https://www.imdb.com/title/tt5788792
111.0,The Grand Tour,46,TV Series,8.3,2069.6,8.7,82313.0,60.0,"Comedy ,Sport ,Talk-Show",2016,2024.0,https://www.imdb.com/title/tt5712554
112.0,Aspirants,10,TV Series,8.8,3546.6,9.2,309999.0,443.0,Drama,2021,2050.0,https://www.imdb.com/title/tt14392248
113.0,Justice League Unlimited,39,TV Series,8.1,726.3,8.7,19913.0,23.0,"Animation ,Action ,Adventure",2004,2006.0,https://www.imdb.com/title/tt6025022
114.0,Friday Night Lights,76,TV Series,8.2,590.1,8.7,71892.0,44.0,"Drama ,Sport",2006,2011.0,https://www.imdb.com/title/tt0758745
115.0,Sarabhai V/S Sarabhai,60,TV Series,8.4,87.1,8.9,18060.0,30.0,Comedy,2004,2017.0,https://www.imdb.com/title/tt1518542
116.0,The Mandalorian,25,TV Series,8.4,24986.9,8.7,579553.0,40.0,"Action ,Adventure ,Fantasy",2019,2050.0,https://www.imdb.com/title/tt8111088
117.0,Behzat Ã‡: An Ankara Detective Story,105,TV Series,8.3,131.3,8.9,32595.0,90.0,"Crime ,Drama ,Mystery",2010,2019.0,https://www.imdb.com/title/tt1795096
118.0,Top Gear,295,TV Series,7.1,286.3,8.7,125800.0,60.0,"Adventure ,Sport ,Talk-Show",2002,2022.0,https://www.imdb.com/title/tt1628033
119.0,Line of Duty,37,TV Series,8.4,1362.6,8.7,69072.0,60.0,"Crime ,Drama ,Mystery",2012,2021.0,https://www.imdb.com/title/tt2303687
120.0,1883,10,TV Mini Series,8.6,3795.9,8.7,112131.0,562.0,"Drama ,Western",2021,2022.0,https://www.imdb.com/title/tt13991232
121.0,The Thick of It,24,TV Series,8.1,444.3,8.7,25851.0,29.0,Comedy,2005,2012.0,https://www.imdb.com/title/tt0459159
122.0,Naruto: Shippuden,51,TV Series,7.7,670.9,8.7,162989.0,24.0,"Animation ,Action ,Adventure",2007,2017.0,https://www.imdb.com/title/tt0988824
123.0,Monster,51,TV Series,8.2,899.4,8.7,42916.0,24.0,"Animation ,Crime ,Drama",2004,2005.0,https://www.imdb.com/title/tt0434706
124.0,House of Cards,73,TV Series,8.0,4575.0,8.6,527910.0,3804.0,Drama,2013,2018.0,https://www.imdb.com/title/tt1856010
